twitterHandle
@devsnicket
@xdaDaveShaw
@iamdevloper
@codinghorror
@OdeToCode
@WardCunningham
@RonJeffries
@KentBeck
@martinfowler
@unclebobmartin
@mfeathers
@jonskeet
@ASWilkie
@ProperRichard
