root,presentParticiple,pastParticiple,thirdPersonSingular
flatten,flattening,flattened,flattens,false
drop,dropping,dropped,drops,false
replicate,replicating,replicated,replicates,false
port,porting,ported,ports,false
copy,copying,copied,copies,false
paste,pasting,pasted,pastes,false
reverse engineer,reverse engineering,reverse engineered,reverse engineers,true
solidify,solidifying,solidified,solidifies,false
consume,consuming,consumed,consumes,false
box,boxing,boxed,boxes,false
unbox,unboxing,unboxed,unboxes,false
spin up,spinning up,spun up,spins,false
overclock,overclocking,overclocked,overclocks,false
google,googling,googled,googles,false
upsert,upserting,upserted,upserts,true
munge,munging,munged,munges,true
deprecate,deprecating,deprecated,deprecates,true
abstract,abstracting,abstracted,abstracts,false
analyse,analysing,analysed,analyses,false
modularise,modularising,modularised,modularises,true
innovate,innovating,innovated,innovates,false
encapsulate,encapsulating,encapsulated,encapsulates,false
split,splitting,split,splits,false
isolate,isolating,isolated,isolates,false
invert,inverting,inverted,inverts,false
nullify,nullifying,nullified,nullifies,true
print out,printing out,printed out,prints out,false
disrupt,disrupting,disrupted,disrupts,false
improve,improving,improved,improves,false
monitor,monitoring,monitored,monitors,false
offset,offsetting,offseted,offsets,false
aggregate,aggregating,aggregated,aggregates,false
interrupt,interrupting,interrupted,interrupts,false
dispatch,dispatching,dispatched,dispatches,false
fully qualify,fully qualifying,fully qualified,fully qualifies,false
hand roll,hand rolling,hand rolled,hand rolls,false
deep dive into,deep diving into,deep dived into,deep dives into,true
call out,calling out,called out,calls out,false
solutionise,solutionising,solutionised,solutionises,true
backport,backporting,backported,backports,true
containerise,containerising,containerised,containerises,true
transpile,transpiling,transpiled,transpiles,true
cold start,cold starting,cold started,cold starts,false
